text,labeled,sentiment
damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.,cyberbully,0
Slurpees are awesome. Damn  now I really really want one O.o,not cybercrime,1
"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!",not cybercrime,1
i loved it  i laughed my ass off,not cybercrime,1
ahh  you might be on to something...damn techies,cyberbully,0
The pig of shame? Lol! Is that like the aardvark of discontent?,not cybercrime,1
Still - it's damn moronic that media people can't access media - particularly media made by their own company!,cyberbully,0
if anyone said Arial I'm gonna beat their ass.,not cybercrime,1
well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,cyberbully,0
Tell her she says Bitch like it's a bad thing,cyberbully,0
I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,cyberbully,0
Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,cyberbully,0
You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,cyberbully,0
Damn  you're totally geeking out on us tonite.,cyberbully,0
the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,not cybercrime,1
we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,cyberbully,0
Let your hate for Gambit grow. Embrace it. Spread it.,cyberbully,0
dig deep and find that special Christmas hate!,cyberbully,0
I tried to rickroll my office christmas party last night but the damn band didn't know it!,not cybercrime,1
even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,cyberbully,0
Smack a bitch? :-D,cyberbully,0
rock  not the. He gives the emo populists limp wrist rocker throw.,not cybercrime,1
Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,cyberbully,0
i feel fucking great get me another drink,not cybercrime,1
"You've got 5"" of snow?  Damn.  I'm jealous.",cyberbully,0
It just sucks that so many use it as a crutch.,cyberbully,0
They say I have the best ass this side of fourteenth street.,not cybercrime,1
yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,not cybercrime,1
ha not that creepy. because it's week not cybercrime0 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,cyberbully,0
Fuck  amen to that,cyberbully,0
Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,cyberbully,0
I knw!!!!!  I hate that! D:,cyberbully,0
Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,not cybercrime,1
yeah. i had to beg the stupid teacher. it was so gay.,cyberbully,0
yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,cyberbully,0
told ya she was fat! she's loyal tho  she has this goin for her...,not cybercrime,1
if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,cyberbully,0
I have all th nerd at home and I'm a smart ass too. So I answered you,not cybercrime,1
u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,cyberbully,0
you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,cyberbully,0
haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,not cybercrime,1
and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,cyberbully,0
I like the verses to the song....just not that lame ass auto tuning nigga on the hook,cyberbully,0
hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,not cybercrime,1
way to damn hard,cyberbully,0
"the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd""",not cybercrime,1
but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,cyberbully,0
DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,not cybercrime,1
No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,cyberbully,0
it was a joke haha. i figured id be emo too since everyone is complaining on here,not cybercrime,1
It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,cyberbully,0
o so the rumors are true i am OBESE! yea fat!,not cybercrime,1
girlfriend where the fuck did u find that photo! lmao!,not cybercrime,1
ur a damn fool lmao,cyberbully,0
They're not my preference  but the app is so damn fast and thorough that I let it slide.,cyberbully,0
 Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),not cybercrime,1
Tell them you want YouTube to quit fucking with things that no one wants fucked with.,cyberbully,0
No  you just piss out anything your body won't absorb.,cyberbully,0
Doh! dont you hate it when that happens  I keep meaning to take a backup myself,not cybercrime,1
Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,cyberbully,0
Mate it is. In Newcastle it was -not cybercrime  down Bath -6  it's fucking brassic cold,cyberbully,0
"hate text talking""",cyberbully,0
: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,cyberbully,0
less #damn-fridays  more #bad_wookie_pun,cyberbully,0
women are fucking disgusting.,cyberbully,0
you bet your sweet ass you will!,not cybercrime,1
dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,cyberbully,0
 will do when i get home  only time i heard it was warped though  fuck life!,cyberbully,0
Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,not cybercrime,1
i got ur ticks  but yo ass ain't gonna come! lol,not cybercrime,1
Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,cyberbully,0
stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),not cybercrime,1
"Also  I caught that ""Gai-damn"" earlier  and I support it not cybercrime00% ;)",not cybercrime,1
gee  i'd hate to see what you say about the family ;),cyberbully,0
dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,cyberbully,0
damn fine! The snow is gone thank god!,not cybercrime,1
That sucks.  Life can't really be that bad  right?  Chocolate does always help.,cyberbully,0
i hate you :P happy birthday dude  good to know your enjoying it,not cybercrime,1
thats a good question.  most lawyers HATE that stuff.,cyberbully,0
YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,cyberbully,0
oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,cyberbully,0
ummm. Ya. That's pretty damn pimp.,not cybercrime,1
as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,cyberbully,0
got delayed.  your ass kicking will have to wait.,cyberbully,0
I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the not cybercrime4th.  Did I tell you?,cyberbully,0
it was just a joke man..i wasnt taking the piss out of anything.,not cybercrime,1
i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,cyberbully,0
i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,cyberbully,0
I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,cyberbully,0
"Are you laughing your ass off with all these ""juicy"" twits?",not cybercrime,1
yeah we do... damn this time difference *HUGS*,not cybercrime,1
OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,not cybercrime,1
hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,cyberbully,0
yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,cyberbully,0
wow - mommy's little cheerleader! *must... not... take... the...piss......*,not cybercrime,1
lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,not cybercrime,1
oh hot damn!,cyberbully,0
He can't hear you  his head's too far up his own ass.,not cybercrime,1
Prison Bitch is a sparkling addition to any resume.,cyberbully,0
a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),cyberbully,0
that sucks that you're sick. Sorry to hear that.,cyberbully,0
No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),not cybercrime,1
try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,not cybercrime,1
Football. I hate it. It&#82not cybercrime7;s official  I&#82not cybercrime7;m bad luck.,cyberbully,0
I fucking love Haunted.,cyberbully,0
I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,cyberbully,0
lol kevin bought me damn near nothing and we dated for over not cybercrime0 months. my life sucks.,cyberbully,0
Yea it sucks!!,cyberbully,0
Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,not cybercrime,1
yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,not cybercrime,1
hot damn! did you get an iPhone too?,cyberbully,0
aw  thanks. it's going better than yesterday  that's for damn sure. :-D,not cybercrime,1
no. i must have missed that one. damn. ;-),cyberbully,0
have a safe flight.....damn now you make me want some jamba juice,not cybercrime,1
I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,not cybercrime,1
http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,not cybercrime,1
him and his damn tech stuff bwahaha,cyberbully,0
i'm not emo. I'm fucking happy!,not cybercrime,1
well now I have to edit myself and you know how I hate that!,cyberbully,0
if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,cyberbully,0
what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,not cybercrime,1
& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,not cybercrime,1
you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,cyberbully,0
i get that ha ha smart ass :p,not cybercrime,1
i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,not cybercrime,1
Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,not cybercrime,1
Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,cyberbully,0
yea the weather sucks. At least you missed the 8 degree weather though lol.,not cybercrime,1
I do  but I'm an American. Hence  I'm a pussy.,not cybercrime,1
God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,cyberbully,0
I take full pride in being a nerd. Hahah.,not cybercrime,1
THAT'S AN UGLY ASS PICTURE!,cyberbully,0
Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,cyberbully,0
My grandmother is a big bitch and my father's a fraking arsehole.,cyberbully,0
you must be bored...you are a twitter whore today. ;),cyberbully,0
man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,cyberbully,0
just don't eat a meal replacement bar.. I fucking threw up!!,cyberbully,0
fuck duke!,cyberbully,0
"what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this",not cybercrime,1
2 weeks? how am I gonna live without money for 2 fucking weeks?,not cybercrime,1
Well get your ass busy!,not cybercrime,1
Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,not cybercrime,1
damn that sucks..I hope you are ok now,cyberbully,0
haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,cyberbully,0
Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?,cyberbully,0
"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?",not cybercrime,1
Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you,not cybercrime,1
Fuck. Well  you can for a low cost of not cybercrime9.99 with shipping and handling. But that's only if you really want to.,cyberbully,0
Fuck again. Call not cybercrime800QZAK. Then your problems will be solved. I might even get you a discount,cyberbully,0
If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know,cyberbully,0
you're a fucking maniac.,cyberbully,0
its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.,cyberbully,0
HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:,cyberbully,0
FUCK SUNDAY im super bummed.,not cybercrime,1
whelchers fuckin suck ass!,cyberbully,0
some peoples drama just sucks!,cyberbully,0
well that sux donkey dick. No interwebs is kinda a pain for ur work.,cyberbully,0
Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.,cyberbully,0
today feels like sunday.....damn lol,not cybercrime,1
Damn didnt even see that lol  : /,cyberbully,0
HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol,not cybercrime,1
i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!,cyberbully,0
don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.,cyberbully,0
i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.,cyberbully,0
i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,cyberbully,0
no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.,cyberbully,0
here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!,cyberbully,0
no i think you will hate it. Its a bunch of dirty work.,cyberbully,0
the iced media party. Long ass day at the office  time for a drink or 3,not cybercrime,1
easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first,cyberbully,0
@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...,cyberbully,0
LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!,not cybercrime,1
You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL,not cybercrime,1
@mekdot yo...heroes sucks!!! I loved season 1  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!,not cybercrime,1
That sucks  they owe you much?,cyberbully,0
Boo  to be fair they shouldn't give away your room. Kick their ass!,not cybercrime,1
Wow  that's bad-ass. You're like Stanley now. Well  even more so...,not cybercrime,1
lol figured. So anyway  anna is still being a bitch(sorry for the language) She doesnt want to go on the trip. So now onto plan B,cyberbully,0
anna just has to ruin the holidays for me  just like every year. Damn you anna!,cyberbully,0
rock out with ur cock out dude!!!,cyberbully,0
that's a shame  I hate having to unfollow someone! :-P,cyberbully,0
BIG FAT HARD HAWAIIAN DICK. Too much?,cyberbully,0
 i hate that too - i have blocked a few of stalker / serial networkers on fb too.  maybe they should tweet first?,cyberbully,0
LOL - nah  that's just what we tell the loser guests that we usually toss down in the newsroom!! oh  wait...,cyberbully,0
Israelis to Spanish FM ... Kiss my ass.,not cybercrime,1
No  but I'm saying that money that has gone into Gaza SHOULD be feeding people  not waging war and breding hate.,cyberbully,0
I had a dream involving a rhino chasing me because of my polo cologne. Everyone says it represents a fat woman. My life sucks.,cyberbully,0
Taking the piss = talking trash  perhaps,cyberbully,0
& @babysinead that dude is a fucking PSYCHO. i turned down working for him and he told ppl that I DID and that i was TROUBLE.,cyberbully,0
& @babysinead i've never even met him in person. he's a fucking douche.,cyberbully,0
I get that too! It sucks!,cyberbully,0
hey fag why you gotta ask the whole world!? j/k your awesome,not cybercrime,1
gotta love the gay kid who was drumming trying to get his head in the pic tho HAHA,not cybercrime,1
Sheeyat....Freezing rain is no punk. Hope you didn't fall & bust your ass in the parking lot.... I almost did.,not cybercrime,1
Damn skippy. I should be dead 10 times over......,cyberbully,0
Its foggy as hell here too. Looks like damn Seattle.,cyberbully,0
lol penelope died?? thats so depressive  i have a compaq it sucks  i dont have a name for my computer tho : ),cyberbully,0
Do you really have a big man ass?,not cybercrime,1
i don't know that bambi's ass is a nice place. LOL,not cybercrime,1
attention whore!,cyberbully,0
I laughed so hard when I first heard because my gay husband (good friend  lol) says code 3 when he has an emergency,not cybercrime,1
http://twitpic.com/xipq - this only makes me hate having a verizon contract even more.  erg.,cyberbully,0
no guarantees.  hate the place. I'm ust going there to make sure my parents are still alive.,not cybercrime,1
AWWWW I HATE THAT!!!! I had to buy that gadget you can stick your hard drive into to pull them off. SO SUCKS! Sorry. :0(,cyberbully,0
Praying for your grandmother and your momma. I hate that they are facing so much.,cyberbully,0
bitch please your gorgeous,not cybercrime,1
i fucking hate that word  hahaha.,cyberbully,0
i know  haha. 1408 is so gay. i don't even know why i'm watching it.,not cybercrime,1
omg - that sucks arse! I am so sorry =/,cyberbully,0
Sounds like good times. I'm in the office until 7:00 and then I'll probably go for a run. I'm a fat boy getting fatter.,not cybercrime,1
Ye Olde Cock looks nice.,not cybercrime,1
sure you can  I'll hide the flashlight. go emo go!,not cybercrime,1
emang lagu2nya emo? bukannya mellow? :D,not cybercrime,1
gitu emo jaman dulu ya :D,not cybercrime,1
Listen  RayRay  I gave you the lowdown as soon as I got it. I hadn't heard it b4 and I was shocked. She seems to hate his guts.,cyberbully,0
I thinks you meant to say that TWILIGHT was epic fail  not your mistake. I hate stephanie meyer and I've never even met her.,cyberbully,0
lawl. Sucks to be THEM  then.,cyberbully,0
I'd die first. Damn fareway.,cyberbully,0
LMAO! He's horrible. The Beatles changed the fucking WORLD! And are still an icon to this day. Who the fuck are you?!?!?,cyberbully,0
I need to see how this ravin rabids game works first. It'd all have to be in the ass moving. Maybe not moving enough = bad oral?,cyberbully,0
holy fucking jesus mother  gad damnit WTF? wow.,cyberbully,0
really? Thank fucking god for sleeping pills!,not cybercrime,1
dude  that pic of you in the Gold 2009 flyer looks like a friggen glamour shot  fag. hearts!,not cybercrime,1
Eff yeah! give @jeffreyparadise and @richiepanic a slap on the ass for me,not cybercrime,1
you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready,cyberbully,0
I hate to open the flue after a long fall. We get birds or dead squirrels...totally scary!!!!!,cyberbully,0
depends on how much you hate fighting w/your light. I read in the car a lot while hub drives  so very worth it to me.,cyberbully,0
he won't wanna pet the guinea pig?,not cybercrime,1
i'd love to visit (or live) in san diego cause of yr round warm weather. i hate cold so bad. crowds n traf would b my probs there,cyberbully,0
no prob  but watch out  it's fucking addictive!,cyberbully,0
re:fuck the creative industries blog post (at squares of wheat):I say:Waaaay too much empty rhetoric there. Be the Change ?,cyberbully,0
Did...I mention that among my new disciplines are Dementation  Dominate  Presence  and Obtenebration?  I am fucking AWESOME.,not cybercrime,1
I *really* hate housework! Then again  it was great waking up to a clean LR & kitchen! Maybe I should do it more often... :-),not cybercrime,1
I've been wondering that myself. Its been down for quite a damn long time... @tqbf any comment on that?,cyberbully,0
well damn we should have had a tweet up. I was at Kona last night as well.,cyberbully,0
ouch! Hope your alright! :S I hate Black Ice  Almost broke my arm on it the other week :P,not cybercrime,1
eeeeew  I wanna cum ;),not cybercrime,1
 AAYE!!!  richard gre is NOT gay-re :P,not cybercrime,1
fuck yeah bra,cyberbully,0
nope can't deny that sweet face or lil schnauzer w/ ears~always wished Hildie had her pig tails~how is cropping still happening?,not cybercrime,1
Hey~~Happy New Year new friend !! enjoy the movie~ think of me when the crazy proff shows up..damn...can't remember his name,not cybercrime,1
#NAME?,not cybercrime,1
 GOOD! Now u can bring ur happy lil' ass over here & help me finish hanging this garland.  ;-),not cybercrime,1
Guess there wont be much skidding then. As is said hope you're on the ground floor or everyone will hate Green Grass and High Tides.,cyberbully,0
The FA50 is a low key ultra here in ATL. It stands for Fat Ass 50K. Loop course  so you could do 25K...Half Ass.,cyberbully,0
 me too!!! I also hate closing then opening then closing shifts that gets me all out of wack.,cyberbully,0
"says ""no more pizzas for the situation room! or else we will be fat when the war is over...""",cyberbully,0
hangs longer than u while u lay there on ur ass! 1 day u gonna look back @ these days & ask urself where did ur life go?,not cybercrime,1
